Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        Nokia 2.3 Android 10 Smartphone 2GB RAM, 32GB Storage, Dual Rear Camera, Cyan Green       ","1,191 ratings",,Nokia,Nokia 2.3,Android 10.0,         6.2 inches    ,         HD+    ,4000,,
"        Redmi 2GB RAM, 16GB Storage Mi 6A, Black       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,,,,,
"        Samsung Galaxy A03 Blue, 3GB RAM, 32GB Storage Without Offers       ",74 ratings,,Samsung,Samsung Galaxy A03,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        POCO C31 (Royal Blue, 32 GB) (3 GB RAM)       ",141 ratings,,Poco,C31,Android 10.0,         6.53 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Samsung Galaxy A03 Core (Mint, 2GB RAM, 32GB Storage)       ",,,Samsung,SM-A032FLGDINS,Android GO 11.0,,,,,
"        Redmi 7A (Matte Black, 2GB RAM, 32GB Storage)       ","61,730 ratings",,Redmi,Redmi 7A,Android 9.0,         5.45 inches    ,         LCD    ,4000,,
"        Redmi 7A (Matte Black, 2GB RAM, 16GB Storage)       ","61,730 ratings",,Redmi,Redmi 7A,Android,         5.45 inches    ,         LCD    ,4000,,
"        I KALL K475 Smartphone (4GB, 64GB) (Sky Blue)       ",35 ratings,,IKALL,Sky Blue,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        Tecno Spark 8 (Turquoise Cyan,3GB, 32GB Storage) | 16MP Dual AI Camera | New Metal Coding Design| 5000mAh | 8MP Selfie Camera with Dual Flashlight, 6.56"" HD+Display       ",309 ratings,,Tecno,Tecno Spark 8(3/32GB),Android 11 based HiOS 7.6,         6.56 inches    ,         Incell    ,5000,,
"        itel A48 (Gradation Purple, 2GB RAM, 32GB Storage)       ",856 ratings,,Itel,L6006,Android 10.0,         6.1 inches    ,         LCD    ,3000,,
"        Realme C30 (Bamboo Green, 2GB RAM, 32GB Storage)       ",1 rating,,Realme,Realme C30,Android 11,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Redmi 6A (Blue, 2GB RAM, 32GB Storage)       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,,,,,
"        Realme C25Y (Metal Grey, 4GB RAM, 64GB Storage)       ",141 ratings,,Realme,Realme C25Y,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Nokia 3.2 (Black, 3GB RAM, 32GB Storage)       ",751 ratings,,Nokia,Nokia 3.2,Android 9.0,         6.26 inches    ,         720 x 1520    ,4000,,
"        OPPO A16e (White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers       ",215 ratings," ₹ 9,999.00 ",Oppo,A16k,Android 11,         16.55 cm    ,         LCD    ,4230,,
"        Nokia 2.3 Android 10 Smartphone 2GB RAM, 32GB Storage, Dual Rear Camera, Charcoal       ","1,191 ratings"," ₹ 7,999.00 ",Nokia,Nokia 2.3,Android 10.0,         6.2 inches    ,         HD+    ,4000,,
"        (Renewed) Poco F1 by Xiaomi (Steel Blue, 6GB RAM, 128GB Storage)       ",81 ratings," ₹ 8,999.99 ",Poco by Xiaomi,POCO F1,Android,,,,,
"        Tecno Spark 8 (Atlantic Blue,3GB, 32GB Storage) | 16MP Dual AI Camera | New Metal Coding Design| 5000mAh | 8MP Selfie Camera with Dual Flashlight, 6.56"" HD+Display       ",309 ratings,,Tecno,Tecno Spark 8(3/32GB),Android 11 based HiOS 7.6,         6.56 inches    ,         Incell    ,5000,,
"        Realme C25Y (Glacier Blue, 4GB RAM, 64GB Storage)       ",234 ratings,,Realme,Realme C25Y,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Realme C31 (Dark Green, 3GB RAM, 32GB Storage)       ",102 ratings,,Realme,C31,Android 11,5000,         3 GB    ,         3 GB    ,,
"        Redmi 2GB RAM, 16GB Storage Mi 6A, Rose Gold       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,         5.45 inches    ,"         HD+, HD+    ",3000,,
"        (Renewed) Redmi 7A (Matte Blue, 2GB RAM, 16GB Storage)       ",16 ratings," ₹ 5,199.00 ",Redmi,,Android 9.0,         5.45 inches    ,         LCD    ,4000,,
"        (Renewed) Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free       ",81 ratings," ₹ 9,899.00 ",Redmi,,Android,         FHD+ full screen dot display    ,5020,         4 GB    ,,
"        Infinix Hot 11 2022 (Aurora Green, 4GB RAM 64GB Storage)       ",11 ratings,,Infinix,Aurora,Android 11,         6.6 inches    ,         5000 Milliamp Hours    ,         4 GB    ,,
"        Redmi 7A (Matte Blue, 2GB RAM, 16GB Storage)       ","61,730 ratings",,Redmi,Redmi 7A,Android,,,,,
